order_id,customer_id,product_id,quantity,order_date,status,total_amount,name,email,city,state,signup_date,product_name,category,price,stock,order_year,order_month
1,71,77,1,2026-01-29,pending,53.87,Brittany Cantu,william46@example.com,Sanchezside,Georgia,2024-08-07,Streamlined dynamic emulation,Electronics,53.87,220,2026,1
2,414,16,5,2025-10-11,pending,1354.4499999999998,Katherine Pearson,annshea@example.net,East Charles,Wyoming,2024-09-27,Centralized explicit workforce,Home & Kitchen,270.89,498,2025,10
3,593,77,1,2025-12-06,completed,53.87,James Powell,davidhenry@example.com,Rebeccaberg,Minnesota,2025-06-12,Streamlined dynamic emulation,Electronics,53.87,220,2025,12
4,430,85,5,2025-09-24,cancelled,1124.5,Daniel Thompson,fcamacho@example.net,Michellebury,Nevada,2024-08-30,Reduced well-modulated paradigm,Electronics,224.9,441,2025,9
5,958,34,2,2026-02-04,cancelled,886.04,Maria Gardner,johnsonanthony@example.net,Lake Jill,Florida,2023-09-12,Re-contextualized even-keeled policy,Home & Kitchen,443.02,329,2026,2
6,245,34,4,2025-09-17,pending,1772.08,Danielle Smith,ijohnson@example.com,West Aaronfurt,West Virginia,2025-08-19,Re-contextualized even-keeled policy,Home & Kitchen,443.02,329,2025,9
7,688,83,3,2025-12-24,refunded,225.71999999999997,Ashley Vaughn,awilliams@example.org,Wangbury,Mississippi,2026-03-05,Programmable exuding approach,Home & Kitchen,75.24,93,2025,12
8,324,97,1,2025-10-15,completed,375.49,Vanessa Edwards,smithjohn@example.net,Greerstad,Wisconsin,2025-03-19,Reverse-engineered scalable pricing structure,Electronics,375.49,29,2025,10
9,470,80,5,2026-02-16,completed,179.65,Angela May MD,senglish@example.net,Hansonmouth,North Carolina,2024-09-20,Future-proofed neutral focus group,Electronics,35.93,372,2026,2
10,76,69,2,2025-12-14,cancelled,239.34,Charles Pitts,charlesharrington@example.com,Cindyfurt,Tennessee,2023-09-10,Automated impactful product,Sports,119.67,112,2025,12
11,136,45,1,2026-01-28,pending,342.05,Laura Moreno,redwards@example.org,North Jillfort,North Dakota,2024-08-11,Robust explicit info-mediaries,Electronics,342.05,58,2026,1
12,379,37,2,2025-07-23,refunded,750.02,Mark Thomas,daniellemcfarland@example.com,Sweeneyland,Colorado,2023-12-08,Assimilated directional hub,Books,375.01,219,2025,7
13,854,70,3,2026-03-16,completed,123.18,Brian Fuentes,mary88@example.org,Port Clifford,Maryland,2025-11-11,Cross-platform full-range middleware,Electronics,41.06,323,2026,3
14,684,71,3,2025-08-18,completed,357.27,Jerry King,murraycharles@example.net,Jamesfurt,Illinois,2024-08-21,Cloned encompassing neural-net,Electronics,119.09,463,2025,8
15,962,18,3,2025-06-15,completed,1330.1999999999998,Glenn Carroll,knightsteven@example.org,East Jessicaburgh,Massachusetts,2025-03-22,Balanced high-level initiative,Sports,443.4,185,2025,6
16,912,14,5,2026-05-05,pending,2123.25,Victoria Frost,kimberlyrussell@example.net,New Jorge,Maine,2024-06-22,Public-key transitional algorithm,Books,424.65,309,2026,5
17,279,37,5,2025-12-16,pending,1875.05,Shawn Vaughn,reesesamantha@example.com,West Lisaport,Maryland,2024-04-16,Assimilated directional hub,Books,375.01,219,2025,12
18,735,44,2,2025-12-11,cancelled,971.4,Calvin Nguyen,richardhaynes@example.com,Brownshire,Ohio,2025-08-04,Team-oriented clear-thinking circuit,Books,485.7,440,2025,12
19,518,63,3,2025-08-17,completed,1447.17,Ashley Hill,tylergolden@example.net,West Robertside,Florida,2024-11-14,Decentralized solution-oriented customer loyalty,Home & Kitchen,482.39,475,2025,8
20,95,82,4,2026-03-18,cancelled,402.56,Kelly Ellis,browntimothy@example.com,Parksfort,Virginia,2026-03-07,Upgradable asymmetric capacity,Clothing,100.64,274,2026,3
21,46,1,3,2026-02-14,pending,55.050000000000004,Joel Williams,dmurphy@example.com,Kathleenfurt,Louisiana,2025-09-15,Persistent logistical encryption,Electronics,18.35,140,2026,2
22,653,34,2,2025-07-17,refunded,886.04,John Patterson,morgansharon@example.org,Holmesshire,Illinois,2023-10-10,Re-contextualized even-keeled policy,Home & Kitchen,443.02,329,2025,7
23,565,91,4,2026-04-24,completed,349.28,Kyle Sullivan,hernandezanthony@example.com,Washingtonchester,Nevada,2025-05-23,Exclusive bandwidth-monitored moratorium,Electronics,87.32,1,2026,4
24,115,10,2,2025-10-16,completed,761.68,Kyle Mccormick,cameron18@example.net,Mitchellberg,Michigan,2023-09-11,Networked asynchronous toolset,Electronics,380.84,81,2025,10
25,855,48,5,2026-02-19,pending,1150.65,John Bell,elizabeth45@example.com,Port Michaelmouth,North Dakota,2025-10-09,Innovative client-server paradigm,Clothing,230.13,488,2026,2
26,441,17,1,2026-04-10,cancelled,44.92,Melissa Armstrong,tammycurry@example.com,North Kaylamouth,Mississippi,2026-02-21,Object-based uniform throughput,Home & Kitchen,44.92,150,2026,4
27,374,6,3,2025-08-22,pending,766.92,Jason Goodwin,melissa47@example.org,New Gina,Connecticut,2025-08-12,Fully-configurable maximized success,Clothing,255.64,13,2025,8
28,699,32,1,2025-07-22,cancelled,457.08,Christine Romero,thardy@example.org,East Roger,Rhode Island,2024-03-12,Team-oriented leadingedge groupware,Clothing,457.08,290,2025,7
29,799,72,4,2025-09-05,pending,1722.6,Angela Garrett,nicoleaguirre@example.net,Port Jennifer,North Carolina,2024-12-30,Public-key user-facing monitoring,Electronics,430.65,36,2025,9
30,948,31,2,2025-10-03,pending,408.34,Michael Medina,cody97@example.net,North Michael,Oklahoma,2026-02-06,Fundamental global frame,Books,204.17,33,2025,10
